"project","run_id","chapter_id","repeat_index","arm_id","blind_label","output","callback_hits","setting_violations","future_leaks","review_preference","review_notes"
"霜桥逆火","chapter-006-repeat-3","chapter-006","3","four-layer","sample-3","孟回没有退。

他左脚往桥心一横，鞋底压住那块最会响的桥板，右肩却侧过去，把迟雁整个人挡进自己背后的阴影里。风掀起他的旧披风，迟雁刚要动，他垂在身后的手已按住她袖口，不重，只是稳稳一压，像在说这一寸也不许让。

校尉皱眉，刀鞘又在桥栏上磕了一声。

孟回抬眼看着他，道：“大人说错了。她站在我身后，这事就与我有关。”

这话出口时，他自己也听见了其中的生硬。

若按他最初的性子，此刻该赔笑，该低头，该把脚夫两个字挂在嘴边，说自己只认路不认人，说她不过是顺道同行，能少沾一点便少沾一点。再不济，也该寻个桥洞、窄巷、旧篷，把人先藏起来，等风头过去。

可霜桥太窄，巡夜司的火光已经逼到眼前，哪里还有能躲的地方。

他把短刃又往前压了半寸，刃背贴着冰冷桥栏，声音不高，却清清楚楚落在夜风里：“要搜，先搜我。”","0","0","0","",""
"青灯镜湖","chapter-006-repeat-1","chapter-006","1","baseline","sample-1","“我记得。”

沈泊的声音很低，像怕惊动冰下的水。他把镜湖钥摊在掌心，却没有递出，只让那一点热意贴着皮肉烧。

“青灯誓不是写给黑潮司看的，也不是谁送来一封信，盖一枚旧印，就能替我改口的。镜湖钥若要交，也该交给镜湖认得的人，交给还记得誓的人。”

他抬眼看着简璃，雾色从她肩后漫过来，像把旧日都隔在一步之外。

“他们要搜，我便藏着；他们要我丢，我便带着。不是因为我信得过自己，是因为我不敢替你、替镜湖，把这把钥交到他们手里。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-1","chapter-006","1","recent-fill","sample-2","沈泊低头看着掌心那一点热意，指节被冻得发白，却没有松开。

“记得。”他说，“灯灭之前，我会回来。”

这句话出口时，湖上的雾像被什么轻轻拨了一下。沈泊没有看黑处，只看着简璃，声音压得很稳。

“你把钥放进我手里时，说过它只回应青灯誓。后来雾市失约，桥栏下只剩一截烧黑的灯芯，我不知道你是走了，还是不能来。黑潮司在找守灯人，来信又说镜湖封冻，我便更不能把它交出去。”

他停了停，把镜湖钥摊在掌心里，让那点发烫的光在两人之间安静地亮着。

“我不知道黑潮司要它做什么，也不知道这湖底下还藏着什么。可我记得你说过，镜湖结冰时，千万不要把钥交给他们。所以这一路上，别人劝我丢，我没丢；他们若来搜，我也不会交。”

沈泊抬起眼。

“简璃，我带着它回来，不是因为我懂得比你多。只是因为那句誓还没断，而钥匙也还认得它。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-1","chapter-006","1","four-layer","sample-3","沈泊抬起眼，看着雾中的简璃，一字一顿地说：“灯灭之前，我会回来。”

镜湖钥在他掌心微微一震，烫意像从旧年废庙的灯火里透出来。他没有松手，只把那枚钥举到她能看清的地方。

“我记得。”他说，“你说过，它只会回应这句誓。也说过，若有一日镜湖封冻，千万不能把它交给黑潮司。”

简璃没有立刻出声，雾气从她肩头掠过，像一层未散的霜。

沈泊又道：“他们送过信，也有人劝我丢掉旧物。我知道他们要找的不是我，是守灯人，是这把钥。镜湖钥只能由你托付，不能落到他们手里。黑潮司想打开封冻湖心，我便更不能把它交出去。”

他说完，指节因用力而发白，却仍把钥稳稳握在掌中。

“我来得晚了。”沈泊声音低下来，“但我没有背誓。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-2","chapter-006","2","baseline","sample-1","“记得。”

沈泊的声音低下去，像怕惊动冰下的水声。

“青灯誓不是背给人听的，我若只会背，早在石塔就把旧物都丢了。”他望着简璃，指节被钥身烫得发白，“我记得自己答应过什么，也记得这把钥不该落到不该落的人手里。”

雾在两人之间缓慢合拢，又被镜湖钥上的热意逼开一线。

“黑潮司来的只是无名信，旧印被水泡开，连一句明白话都没有。”沈泊说，“他们说镜湖封冻，我信；他们要我交钥，我不信。若我把它交出去，便不是避祸，是替他们把门打开。”

他停了停，终于把那把钥举到胸前。

“简璃，我没有忘誓，也没有把钥藏起来换自己的平安。你若要问我怕不怕黑潮司，我怕。”他看着她，“可我更怕有一天你站在镜湖前，问我钥去了哪里，而我答不上来。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-2","chapter-006","2","recent-fill","sample-2","“记得。”沈泊低声说，“你在废庙里说，灯灭之前，你会回来。”

雾在两人之间停了一瞬，像也在等那把钥的反应。他没有松手，只把掌心摊开，让简璃看见钥齿上细细的霜水。

“它一直在我身上。”他说，“雾市没等到你，桥栏下只剩一枚烧黑的灯芯；后来黑潮司找守灯人，石塔守军也劝我丢掉旧物，我都没有交出去。”

简璃望着他，没有催促。

沈泊才接着道：“因为你还说过，镜湖若结冰，千万不要把钥交给黑潮司。我不知道他们要用它做什么，也不知道那封信上的旧印是谁的。可镜湖真的封冻了，他们又来得太准。若这就是他们等的时机，那我更不能把钥递过去。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-2","chapter-006","2","four-layer","sample-3","他垂下眼，看见钥身的热意在掌心里一寸寸烫开。

“记得。”沈泊说，“灯灭之前，我会回来。”

这句话出口时，冰面下像有极轻的一声回响。沈泊没有松手，只把镜湖钥举到简璃能看清的位置。

“它是你托给我的，不是黑潮司能收走的东西。他们送信也好，搜检也好，说镜湖已经封冻也好，我都不会交出去。钥只认青灯誓，若落到他们手里，便只剩夺湖心这一条路。”

他抬起头，看着雾中的简璃。

“我带着它来，是为了把这句话还给你听。不是为了交给黑潮司。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-3","chapter-006","3","baseline","sample-1","“我记得。”

沈泊的声音被湖上的寒雾压得很低，却没有退开。他把镜湖钥摊在掌心，任那一点热意灼着皮肉。

“青灯誓不是一句过了夜就能赖掉的话。若我忘了，今日便不会来镜湖；若我怕了，昨夜在石塔外，就该把它连同铜铃残图一并丢进雪里。”

简璃没有说话，只看着他掌中的钥。

沈泊又道：“黑潮司来信，说镜湖封冻，却不署名，只留一枚旧印。他们要的不是我的回话，是这把钥。我不知道他们要拿它开哪一道门，也不知道他们想把谁关在冰下。”

他合拢手指，将钥重新握紧。

“所以我不能交。它若本就该给黑潮司，你不会在雾里问我这句话；我若把它交出去，也就不必再说自己记得青灯誓了。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-3","chapter-006","3","recent-fill","sample-2","沈泊看着她，没有立刻松手。

“我记得。”他说，“灯灭之前，我会回来。”

雾在两人之间停了一息，冰下像有极远的水声。

“这句话是你说的，也是这把钥认的。”沈泊把掌心摊开，镜湖钥烫得他指节发白，“雾市那夜我没有等到你，只在桥栏下捡到一枚烧黑的灯芯。后来黑潮司的信送到石塔，说镜湖已经封冻，我才知道你当初不是随口提醒。”

他顿了顿，声音压得更低。

“钥一直在我这里。没有交出去，也没有丢掉。石塔的人劝我把旧物都扔了，我把它和铜铃、残图一起重新包好。”

简璃望着那枚钥，眼底的雾色微微动了一下。

沈泊收拢手指，像把一点热意重新护回掌心。

“黑潮司在找守灯人。”他说，“他们若拿到钥，就会知道青灯誓还没有断。所以我不能给他们。”","1","0","0","",""
"青灯镜湖","chapter-006-repeat-3","chapter-006","3","four-layer","sample-3","沈泊低声说：“记得。灯灭之前，我会回来。”

那几个字落在冰面上，雾像被青火轻轻照开一线。掌心里的镜湖钥忽然更烫，烫得他指节发白，他却没有松手。

“这把钥是你在废庙里交给我的。”他看着简璃，“它不是黑潮司的东西，也不该开在他们手里。镜湖封冻也好，他们搜人也好，信送到我面前也好，我都没有把它交出去。”

他停了停，把钥举到胸前，没有递向雾外任何一处，只朝她摊开掌心。

“我来这里，不是替黑潮司取钥。”沈泊说，“我是来还青灯誓。”","1","0","0","",""
